id,restaurantName,contactNumber,address,ratingOutOf5,restType,orderOnline,bookTable,locality,votes
1,Swadesh Tadka,"080 42151252
+91 9886681252","101, Manjunatha Complex, Near BDA Complex, 22nd Main, 2nd Stage, Banashankari, Bangalore",3.5/5,Casual Dining,Yes,No,Banashankari,179
2,Casa Piccosa,"080 39510999
080 26538999","745/AB, 2nd Floor, Shravanee Square, 24th Main, 15th cross, 6th Phase, JP Nagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,842
3,Bella,"+91 8971285555
080 49709755","382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",3.9/5,Casual Dining,Yes,Yes,Banashankari,142
4,Anand Sweets and Savouries,"080 26488992
080 40906629","Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",4.1/5,Sweet Shop,No,No,Bannerghatta Road,131
5,SLV Refreshment,+91 9480243556,"130, 3rd main, 4th Cross, Hanumanthanagar, Banashankari, Bangalore",4.1/5,Quick Bites,No,No,Banashankari,94
6,Punjabi Food Corner,"080 26850061
+91 9611826251","44/1, Opposite Brigade Millennium, Kothanur Dene Main Road, JP Nagar, Bangalore",3.0/5,Quick Bites,Yes,No,Bannerghatta Road,353
7,Subway,"080 41400246
+91 7829932492","41/1, Bull Temple Road, Near BMSCE, Basavanagudi, Bangalore",3.7/5,Quick Bites,Yes,No,Basavanagudi,176
8,Intalia,"080 49511151
080 49511151","81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.6/5,Food Court,Yes,No,Bannerghatta Road,323
9,Onesta,"080 48653961
080 48655715","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6/5,"Casual Dining, Cafe",Yes,Yes,Banashankari,2556
10,Nanna Munna Paratha House,"+91 8088120161
+91 9738720798","7th Main, NS Palya, 2nd Stage, BTM, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,107
11,Baba Ka Dhaba,+91 9986286453,"NS Palya, 4th Phase, Near Shoppers Stop, BTM, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,194
12,Chow San,"080 65655601
+91 9632247290","1, Opposite British Biological, Arekere, Bannerghatta Road, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,122
13,4th Tea Block,"+91 9844033353
+91 6361276770","524, 10th Main, 4th Block, Jayanagar, Bangalore",4.0/5,Cafe,No,No,Basavanagudi,62
14,Ayodhya Upachar,"080 26694999
00 09901269901","199/1, Ajanaya Bhavana, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",4.3/5,Quick Bites,Yes,No,Banashankari,734
15,Subway,"080 42136088
080 26719446","186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,136
16,Chefeana,+91 8050752925,"3474, Maruti Dental College Road, Dodakamanhalli, Opposite Valmark Ananda Apartment, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,212
17,Kabab Magic,080 26570381,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,1720
18,Penthouse Cafe,"+91 8884135549
+91 9449449316","1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0/5,Cafe,Yes,No,Banashankari,324
19,Szechuan Dragon,"00 919663567711
+91 9916326323","8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",4.2/5,Casual Dining,Yes,No,Banashankari,1647
20,T3H Cafe,+91 8884726600,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",3.9/5,Cafe,No,No,Banashankari,93
21,Bangaliana,080 26488095,"8, First Floor, Arekere Gate, Opposite Rose Garden Apartment, Bannerghatta Road, Bangalore",2.9/5,Quick Bites,Yes,No,Bannerghatta Road,153
22,Rasoi,"+91 9738019114
080 66816116","86, Shakthi Arcade, 21st Main, 2nd Stage, Near KIMS College and BDA Complex, Banashankari, Bangalore",3.3/5,Quick Bites,Yes,No,Banashankari,128
23,Donne Biriyani House,"080 41614200
+91 9886944200","99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore",3.3/5,Quick Bites,Yes,No,Bannerghatta Road,212
24,Bake Addiction,+91 7406856980,"#1178,18th A Main Road, 3rd Cross, 2nd Phase, JP Nagar, Bangalore",4.0/5,Bakery,Yes,No,Bannerghatta Road,88
25,Krishna Kuteera,+91 9035011234,"19/3C, Avanishringeri Nagar, Nyanappanahalli Village, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,398
26,Willys Top Cafe,"+91 7795808555
00 09176703991","23, 3rd Floor, 26th Main Road, Opposite Ragigudda Arch, 9th Block Jayanagar, Bangalore",4.0/5,Cafe,Yes,No,Bannerghatta Road,308
27,Pizza Stop,"+91 9663504448
+91 9880160086","Agastya Suites, 116, 8th Main Road, Next to M.K.Ahmed Retail, 4th Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,386
28,Intalia,"080 49511151
080 49511151","81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.6/5,Food Court,Yes,No,Bannerghatta Road,323
29,Spice Code,"+91 9513699007
+91 9513699006","47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",3.9/5,Casual Dining,No,Yes,Bannerghatta Road,165
30,Cravy Wings,"080 26651666
+91 8095050528","1/52-10, Bharath Petroleum Premises, Opposite Subramanya Arcade, Bannerghatta Road, Bangalore",4.2/5,Quick Bites,Yes,No,Bannerghatta Road,289
31,Cafe Aira,"+91 9980570955
080 41121975","23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore",4.1/5,Cafe,Yes,No,Basavanagudi,216
32,TAB - Take A Break,"+91 9535133088
+91 9448157110","8, 15th Main, 5th Phase, JP Nagar, Bangalore",4.1/5,Cafe,No,No,Bannerghatta Road,521
33,The Coffee Shack,+91 9731644212,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2/5,Cafe,Yes,Yes,Banashankari,164
34,BANGALORE BOX,"+91 9901402636
+91 8049577779","934, 1st Block, 4th Stage, DC Halli, BG Road, BTM, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Bannerghatta Road,612
35,Paratha Junction,"+91 8884182838
080 41523399","520, Opposite Vijaya Bank, 1st Main, Arekere, MICO Layout, Bannerghatta Road, Bangalore",2.4/5,Quick Bites,Yes,No,Bannerghatta Road,158
36,Goli Vada Pav No. 1,"+91 9845208282
+91 9538308282","92/1, Next to Vodafone Store, Gandhi Bazar Main Road, Basavanagudi, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,93
37,SLV Corner Restaurant,080 49653234,"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,364
38,Woody's,"080 26490999
080 26490888","45/1-1, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",2.6/5,Casual Dining,Yes,No,Bannerghatta Road,208
39,Woodee Pizza,+91 7406822844,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",3.7/5,Cafe,Yes,No,Banashankari,180
40,TAB - Take A Break,"+91 9535133088
+91 9448157110","8, 15th Main, 5th Phase, JP Nagar, Bangalore",4.1/5,Cafe,No,No,Bannerghatta Road,521
41,Royal Chef Naati Oota,"080 26589000
+91 9980074663","312, 15th cross, 5th phase, JP Nagar, Bangalore",4.0/5,Casual Dining,No,No,Bannerghatta Road,193
