id,dishName,restaurantID,course,diet,price
1,"Number One Luncheon - Fresh Fish, Lemon Butter",260,Haitian Food,Non-Vegetarian,550
2,Curried Shrimps a l'Indienne,56,Russian Food,Non-Vegetarian,500
3,Gerostete Junge Taube,518,British Food,Non-Vegetarian,630
4,"Chopped lamb cutlet, tomato sauce, fried sweet potatoes",6,Hawaiian Food,Non-Vegetarian,780
5,O.P. Andersons,488,Jewish Food,Non-Vegetarian,200
6,MOUSSE DE VOLAILLE A L'ALEXANDRA,339,French Food,Vegetarian,560
7,Cider Brandy,557,Swedish Food,Vegetarian,670
8,boiled eggs (2) with bread and butter,605,Portuguese Food,Vegetarian,390
9,Sausage and Wheat Cakes,439,Japanese Food,Vegetarian,220
10,"Cannelloni di farina di castagne, ripieni di ricotta, alle verdurine saltate",479,Mexican Food,Vegetarian,520
11,Ham Champagne Sauce,624,Tahitian Food,Non-Vegetarian,190
12,Filets de sandre a la ciboulette,579,Algerian Food,Vegetarian,290
13,Pollo,270,Tibetan Food,Vegetarian,710
14,Baked Yellow Squash,193,Brazilian Food,Non-Vegetarian,750
15,Chaud froide de canard sauvage en Belle Vue,520,Haitian Food,Non-Vegetarian,400
16,Heart of Lettuce Choice of Dressing,678,Peruvian Food,Non-Vegetarian,360
17,"Kaviar vajjal,piritott kenyerrel",286,Peruvian Food,Non-Vegetarian,590
18,BEERS ON DRAFT,558,Indian Food,Vegetarian,340
19,Boiled hallibut with caperssauce,183,Chinese Food,Vegetarian,750
20,Terrapin Newburg (Fish),136,Mexican Food,Non-Vegetarian,610
21,Le Mesnil 1959 Moet et Chandon,529,Swedish Food,Vegetarian,490
22,Hot Beets,411,Jewish Food,Vegetarian,730
23,Chicken consommé ,90,American Food,Non-Vegetarian,650
24,Smoked White Sturgeon and Brooktrout,112,Canadian Food,Non-Vegetarian,200
25,SMOKED BEEF TONGUE AND IMPORTED DANISH HAM 5 25,336,Peruvian Food,Non-Vegetarian,150
26,"Shirred Eggs, [2]",112,Mormon Food,Vegetarian,200
27,Cold Salmon,738,Peruvian Food,Non-Vegetarian,210
28,"French Endive, La Salle",550,Algerian Food,Vegetarian,260
29,PERNOD,372,Indian Food,Vegetarian,170
30,PACIFIC CABRILLO (Sea Bass) DINNER,344,Egyptian Food,Non-Vegetarian,750
31,Bombe Georgette,344,Chinese Food,Non-Vegetarian,510
32,"Johannis Water, small",77,Salvadorian Food,Vegetarian,290
33,Virginia Pecan Buns doz.,425,Peruvian Food,Non-Vegetarian,530
34,home made apple pie,157,Brazilian Food,Non-Vegetarian,640
35,"HOT CHICKEN TAMALES, Mexican Sauce",523,Haitian Food,Vegetarian,760
36,"Consomme, Double Tapioca",260,Egyptian Food,Vegetarian,430
37,Potage Dagonbert,660,Brazilian Food,Vegetarian,600
38,Mussels Ravigote ,690,Mormon Food,Non-Vegetarian,560
39,Hygeia Club Soda,716,Indian Food,Non-Vegetarian,670
40,"CEYLON TEA, POT FOR ONE",531,Welsh Food,Vegetarian,490
41,Consomme Cultivateur,642,Polish Food,Vegetarian,290
42,Demi-tasse`.10,645,Tibetan Food,Non-Vegetarian,510
